model,stem,cls,tp,fp,fn
YOLO11n,Japan__Japan_001362,D20,1,0,0
YOLO11n,Japan__Japan_001362,D40,2,0,1
YOLO11n,Japan__Japan_001386,D00,0,1,0
YOLO11n,Japan__Japan_001386,D10,1,0,0
YOLO11n,Japan__Japan_001396,D00,0,0,1
YOLO11n,Japan__Japan_001396,D10,1,0,5
YOLO11n,Japan__Japan_001396,D20,0,1,0
YOLO11n,Japan__Japan_001423,D10,2,1,0
YOLO11n,Japan__Japan_001432,D00,0,0,1
YOLO11n,Japan__Japan_001439,D20,1,0,0
YOLO11n,Japan__Japan_001441,D10,1,0,0
YOLO11n,Japan__Japan_001441,D40,0,0,3
YOLO11n,Japan__Japan_001457,D00,1,1,0
YOLO11n,Japan__Japan_001457,D10,1,0,0
YOLO11n,Japan__Japan_001459,D20,0,0,1
YOLO11n,Japan__Japan_001485,D00,0,1,1
YOLO11n,Japan__Japan_001486,D00,1,0,1
YOLO11n,Japan__Japan_001502,D40,0,0,1
YOLO11n,Japan__Japan_001507,D20,1,1,0
YOLO11n,Japan__Japan_001530,D20,0,0,1
YOLO11n,Japan__Japan_001533,D10,1,0,1
YOLO11n,Japan__Japan_001533,D20,1,0,0
YOLO11n,Japan__Japan_001534,D10,2,0,0
YOLO11n,Japan__Japan_001534,D20,1,1,1
YOLO11n,Japan__Japan_001537,D10,0,0,1
YOLO11n,Japan__Japan_001537,D20,1,0,0
YOLO11n,Japan__Japan_001537,D40,1,0,0
YOLO11n,Japan__Japan_001557,D00,1,0,0
YOLO11n,Japan__Japan_001557,D10,0,0,1
YOLO11n,Japan__Japan_001558,D00,0,0,1
YOLO11n,Japan__Japan_001559,D20,1,2,0
YOLO11n,Japan__Japan_001560,D20,1,0,0
YOLO11n,Japan__Japan_001570,D00,0,0,1
YOLO11n,Japan__Japan_001570,D20,3,0,0
YOLO11n,Japan__Japan_001576,D00,0,0,2
YOLO11n,Japan__Japan_001576,D20,1,1,0
YOLO11n,Japan__Japan_001616,D10,1,0,1
YOLO11n,Japan__Japan_001616,D20,1,1,0
YOLO11n,Japan__Japan_001627,D20,1,1,0
YOLO11n,Japan__Japan_001640,D10,0,1,0
YOLO11n,Japan__Japan_001640,D20,1,0,0
YOLO11n,Japan__Japan_001652,D10,1,0,0
YOLO11n,Japan__Japan_001656,D20,1,2,0
YOLO11n,Japan__Japan_001656,D40,0,1,1
YOLO11n,Japan__Japan_001664,D00,0,0,3
YOLO11n,Japan__Japan_001664,D10,1,0,0
YOLO11n,Japan__Japan_001666,D20,1,0,0
YOLO11n,Japan__Japan_001669,D20,2,0,0
YOLO11n,Japan__Japan_001677,D20,2,1,2
YOLO11n,Japan__Japan_001680,D40,0,0,1
YOLO11n,Japan__Japan_001683,D20,1,0,0
YOLO11n,Japan__Japan_001690,D10,3,1,2
YOLO11n,Japan__Japan_001690,D20,0,1,1
YOLO11n,Japan__Japan_001692,D00,0,0,1
YOLO11n,Japan__Japan_001694,D10,0,1,0
YOLO11n,Japan__Japan_001694,D20,0,0,1
YOLO11n,Japan__Japan_001696,D10,2,0,1
YOLO11n,Japan__Japan_001696,D20,1,0,0
YOLO11n,Japan__Japan_001703,D00,0,1,0
YOLO11n,Japan__Japan_001708,D10,0,0,1
YOLO11n,Japan__Japan_001708,D20,2,3,0
YOLO11n,Japan__Japan_001713,D00,0,0,1
YOLO11n,Japan__Japan_001713,D20,1,0,0
YOLO11n,Japan__Japan_001724,D40,3,1,2
YOLO11n,Japan__Japan_001733,D00,1,1,0
YOLO11n,Japan__Japan_001733,D10,0,0,1
YOLO11n,Japan__Japan_001736,D10,0,1,0
YOLO11n,Japan__Japan_001736,D20,1,0,0
YOLO11n,Japan__Japan_001742,D00,0,0,2
YOLO11n,Japan__Japan_001742,D20,0,1,0
YOLO11n,Japan__Japan_001791,D40,0,1,2
YOLO11n,Japan__Japan_001802,D20,1,0,0
YOLO11n,Japan__Japan_001802,D40,0,0,1
YOLO11n,Japan__Japan_001804,D10,1,0,0
YOLO11n,Japan__Japan_001804,D20,0,1,0
YOLO11n,Japan__Japan_001809,D10,0,0,1
YOLO11n,Japan__Japan_001809,D20,1,1,0
YOLO11n,Japan__Japan_001817,D00,0,0,1
YOLO11n,Japan__Japan_001817,D10,0,1,2
YOLO11n,Japan__Japan_001857,D00,1,0,1
YOLO11n,Japan__Japan_001857,D10,1,0,1
YOLO11n,Japan__Japan_001868,D20,2,1,0
YOLO11n,Japan__Japan_001879,D00,1,0,0
YOLO11n,Japan__Japan_001881,D00,0,0,2
YOLO11n,Japan__Japan_001881,D10,1,0,2
YOLO11n,Japan__Japan_001889,D00,0,1,3
YOLO11n,Japan__Japan_001889,D20,0,1,0
YOLO11n,Japan__Japan_001896,D20,1,0,1
YOLO11n,Japan__Japan_001897,D10,1,0,1
YOLO11n,Japan__Japan_001898,D10,1,0,2
YOLO11n,Japan__Japan_001898,D20,1,0,0
YOLO11n,Japan__Japan_001898,D40,0,0,1
YOLO11n,Japan__Japan_001916,D20,1,0,0
YOLO11n,Japan__Japan_001916,D40,1,2,0
YOLO11n,Japan__Japan_001926,D00,0,1,0
YOLO11n,Japan__Japan_001926,D10,2,3,1
YOLO11n,Japan__Japan_001938,D20,2,1,0
YOLO11n,Japan__Japan_001944,D00,1,0,0
YOLO11n,Japan__Japan_001944,D20,0,0,1
YOLO11n,Japan__Japan_001953,D20,0,0,1
YOLO11n,Japan__Japan_001957,D00,1,0,0
YOLO11n,Japan__Japan_001969,D20,1,0,0
YOLO11n,Japan__Japan_001975,D00,0,1,0
YOLO11n,Japan__Japan_001975,D20,0,0,1
YOLO11n,Japan__Japan_001977,D20,1,2,1
YOLO11n,Japan__Japan_001984,D40,1,0,0
YOLO11n,Japan__Japan_001989,D00,0,0,4
YOLO11n,Japan__Japan_001989,D10,0,0,2
YOLO11n,Japan__Japan_001989,D20,0,1,0
YOLO11n,Japan__Japan_001991,D20,0,0,1
YOLO11n,Japan__Japan_001999,D00,1,0,0
YOLO11n,Japan__Japan_002009,D20,2,1,0
YOLO11n,Japan__Japan_002042,D20,1,0,1
YOLO11n,Japan__Japan_002047,D20,1,1,0
YOLO11n,Japan__Japan_002055,D10,1,1,3
YOLO11n,Japan__Japan_002078,D00,0,1,0
YOLO11n,Japan__Japan_002086,D00,1,1,0
YOLO11n,Japan__Japan_002102,D00,0,1,2
YOLO11n,Japan__Japan_002102,D20,0,1,0
YOLO11n,Japan__Japan_002103,D00,1,0,2
YOLO11n,Japan__Japan_002115,D20,1,1,0
YOLO11n,Japan__Japan_002121,D20,1,0,0
YOLO11n,Japan__Japan_002121,D40,2,2,0
YOLO11n,Japan__Japan_002146,D10,0,0,3
YOLO11n,Japan__Japan_002146,D20,1,1,1
YOLO11n,Japan__Japan_002168,D20,2,0,2
YOLO11n,Japan__Japan_002182,D20,0,0,1
YOLO11n,Japan__Japan_002182,D40,0,1,0
YOLO11n,Japan__Japan_002188,D40,0,0,1
YOLO11n,Japan__Japan_002213,D10,0,1,0
YOLO11n,Japan__Japan_002213,D20,2,0,0
YOLO11n,Japan__Japan_002237,D10,0,1,0
YOLO11n,Japan__Japan_002237,D20,2,0,1
YOLO11n,Japan__Japan_002239,D20,1,1,0
YOLO11n,Japan__Japan_002239,D40,2,1,1
YOLO11n,Japan__Japan_002250,D20,1,0,0
YOLO11n,Japan__Japan_002257,D00,1,1,0
YOLO11n,Japan__Japan_002273,D00,0,1,0
YOLO11n,Japan__Japan_002273,D20,0,0,2
YOLO11n,Japan__Japan_002276,D00,0,1,3
YOLO11n,Japan__Japan_002276,D20,0,1,3
YOLO11n,Japan__Japan_002276,D40,1,0,0
YOLO11n,Japan__Japan_002295,D20,1,0,0
YOLO11n,Japan__Japan_002295,D40,2,2,0
YOLO11n,Japan__Japan_002299,D00,0,0,1
YOLO11n,Japan__Japan_002299,D20,0,1,0
YOLO11n,Japan__Japan_002317,D00,1,0,0
YOLO11n,Japan__Japan_002317,D40,0,0,1
YOLO11n,Japan__Japan_002323,D00,0,0,1
YOLO11n,Japan__Japan_002323,D20,0,0,1
YOLO11n,Japan__Japan_002324,D00,0,0,2
YOLO11n,Japan__Japan_002339,D40,1,0,0
YOLO11n,Japan__Japan_002344,D00,0,0,3
YOLO11n,Japan__Japan_002344,D10,0,1,0
YOLO11n,Japan__Japan_002358,D00,0,0,1
YOLO11n,Japan__Japan_002358,D20,1,0,0
YOLO11n,Japan__Japan_002358,D40,0,0,1
YOLO11n,Japan__Japan_002365,D20,1,0,1
YOLO11n,Japan__Japan_002365,D40,0,0,2
YOLO11n,Japan__Japan_002380,D20,1,0,0
YOLO11n,Japan__Japan_002387,D00,0,0,1
YOLO11n,Japan__Japan_002392,D00,0,1,0
YOLO11n,Japan__Japan_002392,D20,0,1,1
YOLO11n,Japan__Japan_002394,D00,0,0,2
YOLO11n,Japan__Japan_002394,D10,0,0,1
YOLO11n,Japan__Japan_002394,D20,1,2,1
YOLO11n,Japan__Japan_002395,D00,0,1,1
YOLO11n,Japan__Japan_002408,D20,1,0,0
YOLO11n,Japan__Japan_002420,D40,1,1,0
YOLO11n,Japan__Japan_002428,D00,1,0,2
YOLO11n,Japan__Japan_002428,D10,1,1,0
YOLO11n,Japan__Japan_002446,D40,0,1,3
YOLO11n,Japan__Japan_002506,D00,0,1,0
YOLO11n,Japan__Japan_002506,D20,0,0,1
YOLO11n,Japan__Japan_002511,D00,0,0,1
YOLO11n,Japan__Japan_002511,D20,1,1,1
YOLO11n,Japan__Japan_002545,D00,0,0,1
YOLO11n,Japan__Japan_002547,D20,2,0,0
YOLO11n,Japan__Japan_002553,D20,1,0,1
YOLO11n,Japan__Japan_002558,D00,0,2,1
YOLO11n,Japan__Japan_002560,D00,1,0,0
YOLO11n,Japan__Japan_002569,D10,0,1,0
YOLO11n,Japan__Japan_002574,D10,0,1,0
YOLO11n,Japan__Japan_002574,D20,0,0,1
YOLO11n,Japan__Japan_002585,D20,0,0,1
YOLO11n,Japan__Japan_002614,D40,0,1,2
YOLO11n,Japan__Japan_002634,D20,1,0,0
YOLO11n,Japan__Japan_002634,D40,1,0,2
YOLO11n,Japan__Japan_002638,D20,0,1,1
YOLO11n,Japan__Japan_002642,D20,1,1,0
YOLO11n,Japan__Japan_002661,D10,1,0,0
YOLO11n,Japan__Japan_002666,D20,1,1,0
YOLO11n,Japan__Japan_002675,D20,0,1,2
YOLO11n,Japan__Japan_002689,D40,3,0,1
YOLO11n,Japan__Japan_002694,D00,1,0,2
YOLO11n,Japan__Japan_002716,D00,0,0,1
YOLO11n,Japan__Japan_002720,D20,0,4,1
YOLO11n,Japan__Japan_002723,D00,1,0,1
YOLO11n,Japan__Japan_002724,D00,1,0,3
YOLO11n,Japan__Japan_002724,D10,1,0,1
YOLO11n,Japan__Japan_002726,D20,1,1,0
YOLO11n,Japan__Japan_002729,D20,2,0,0
YOLO11n,Japan__Japan_002732,D00,2,0,1
YOLO11n,Japan__Japan_002732,D20,0,1,0
YOLO11n,Japan__Japan_002739,D20,0,0,1
YOLO11n,Japan__Japan_002743,D00,1,0,0
YOLO11n,Japan__Japan_002771,D10,0,0,1
YOLO11n,Japan__Japan_002771,D20,1,1,0
YOLO11n,Japan__Japan_002794,D20,1,0,0
YOLO11n,Japan__Japan_002806,D20,2,1,1
YOLO11n,Japan__Japan_002807,D00,1,0,0
YOLO11n,Japan__Japan_002829,D10,0,0,2
YOLO11n,Japan__Japan_002838,D20,1,1,0
YOLO11n,Japan__Japan_002861,D00,0,0,1
YOLO11n,Japan__Japan_002861,D20,0,0,1
YOLO11n,Japan__Japan_002865,D20,1,0,0
YOLO11n,Japan__Japan_002874,D40,1,0,0
YOLO11n,Japan__Japan_002875,D00,1,0,1
YOLO11n,Japan__Japan_002875,D20,0,1,0
YOLO11n,Japan__Japan_002889,D20,0,0,1
YOLO11n,Japan__Japan_002911,D00,0,0,2
YOLO11n,Japan__Japan_002911,D10,0,2,0
YOLO11n,Japan__Japan_002914,D20,1,0,0
YOLO11n,Japan__Japan_002914,D40,0,2,0
YOLO11n,Japan__Japan_002943,D20,1,1,0
YOLO11n,Japan__Japan_002943,D40,2,0,1
YOLO11n,Japan__Japan_002997,D00,1,1,0
YOLO11n,Japan__Japan_003000,D10,1,0,0
YOLO11n,Japan__Japan_003009,D00,1,2,0
YOLO11n,Japan__Japan_003016,D10,0,1,0
YOLO11n,Japan__Japan_003016,D20,1,0,0
YOLO11n,Japan__Japan_003026,D00,1,0,0
YOLO11n,Japan__Japan_003030,D00,1,0,8
YOLO11n,Japan__Japan_003033,D00,0,0,2
YOLO11n,Japan__Japan_003033,D20,0,0,1
YOLO11n,Japan__Japan_003038,D20,1,0,0
YOLO11n,Japan__Japan_003038,D40,0,1,1
YOLO11n,Japan__Japan_003039,D10,0,0,1
YOLO11n,Japan__Japan_003057,D10,1,1,1
YOLO11n,Japan__Japan_003057,D20,0,0,1
YOLO11n,Japan__Japan_003058,D00,1,0,0
YOLO11n,Japan__Japan_003064,D10,1,1,0
YOLO11n,Japan__Japan_003064,D20,0,2,1
YOLO11n,Japan__Japan_003076,D20,1,0,0
YOLO11n,Japan__Japan_003088,D20,0,1,0
YOLO11n,Japan__Japan_003088,D40,0,0,2
YOLO11n,Japan__Japan_003095,D20,1,1,0
YOLO11n,Japan__Japan_003104,D00,1,0,0
YOLO11n,Japan__Japan_003104,D10,0,1,0
YOLO11n,Japan__Japan_003111,D20,1,1,0
YOLO11n,Japan__Japan_003115,D40,1,1,0
YOLO11n,Japan__Japan_003124,D10,1,0,0
YOLO11n,Japan__Japan_003124,D40,0,0,1
YOLO11n,Japan__Japan_003125,D10,2,1,0
YOLO11n,Japan__Japan_003125,D20,0,0,1
YOLO11n,Japan__Japan_003156,D00,0,1,1
YOLO11n,Japan__Japan_003157,D20,1,2,1
YOLO11n,Japan__Japan_003163,D20,1,1,0
YOLO11n,Japan__Japan_003163,D40,0,1,0
YOLO11n,Japan__Japan_003181,D20,1,1,1
YOLO11n,Japan__Japan_003219,D00,0,0,1
YOLO11n,Japan__Japan_003220,D00,0,0,1
YOLO11n,Japan__Japan_003241,D20,0,1,1
YOLO11n,Japan__Japan_003241,D40,0,1,0
YOLO11n,Japan__Japan_003242,D10,0,0,1
YOLO11n,Japan__Japan_003263,D00,0,0,2
YOLO11n,Japan__Japan_003267,D00,0,0,2
YOLO11n,Japan__Japan_003272,D10,0,0,1
YOLO11n,Japan__Japan_003272,D20,1,0,0
YOLO11n,Japan__Japan_003282,D20,1,0,0
YOLO11n,Japan__Japan_003285,D00,0,1,0
YOLO11n,Japan__Japan_003304,D00,1,0,0
YOLO11n,Japan__Japan_003321,D20,0,0,1
YOLO11n,Japan__Japan_003342,D10,1,0,2
YOLO11n,Japan__Japan_003342,D40,0,0,1
YOLO11n,Japan__Japan_003357,D00,0,1,1
YOLO11n,Japan__Japan_003357,D10,1,0,0
YOLO11n,Japan__Japan_003381,D00,1,1,0
YOLO11n,Japan__Japan_003381,D10,1,2,1
YOLO11n,Japan__Japan_003381,D20,1,1,0
YOLO11n,Japan__Japan_003389,D40,0,0,3
YOLO11n,Japan__Japan_003390,D20,1,1,0
YOLO11n,Japan__Japan_003403,D40,0,0,1
YOLO11n,Japan__Japan_003421,D20,1,2,0
YOLO11n,Japan__Japan_003457,D00,0,1,0
YOLO11n,Japan__Japan_003461,D10,0,0,4
YOLO11n,Japan__Japan_003470,D20,1,0,0
YOLO11n,Japan__Japan_003470,D40,0,0,1
YOLO11n,Japan__Japan_003486,D40,0,1,7
YOLO11n,Japan__Japan_003496,D00,1,2,0
YOLO11n,Japan__Japan_003520,D20,1,0,0
YOLO11n,Japan__Japan_003520,D40,0,0,2
YOLO11n,Japan__Japan_003529,D20,2,0,1
YOLO11n,Japan__Japan_003533,D10,0,0,2
YOLO11n,Japan__Japan_003537,D00,0,0,1
YOLO11n,Japan__Japan_003576,D00,0,0,1
YOLO11n,Japan__Japan_003589,D00,1,0,1
YOLO11n,Japan__Japan_003589,D10,0,0,1
YOLO11n,Japan__Japan_003599,D10,0,0,1
YOLO11n,Japan__Japan_003604,D00,0,0,1
YOLO11n,Japan__Japan_003604,D20,2,1,0
YOLO11n,Japan__Japan_003613,D20,1,0,0
YOLO11n,Japan__Japan_003613,D40,0,1,0
YOLO11n,Japan__Japan_003624,D20,1,0,0
YOLO11n,Japan__Japan_003638,D00,1,0,0
YOLO11n,Japan__Japan_003638,D20,0,0,1
YOLO11n,Japan__Japan_003643,D00,0,0,1
YOLO11n,Japan__Japan_003643,D20,1,0,0
YOLO11n,Japan__Japan_003648,D00,0,0,1
YOLO11n,Japan__Japan_003670,D00,1,0,1
YOLO11n,Japan__Japan_003670,D40,0,0,3
YOLO11n,Japan__Japan_003682,D40,1,0,1
YOLO11n,Japan__Japan_003689,D10,0,0,1
YOLO11n,Japan__Japan_003689,D40,1,0,0
YOLO11n,Japan__Japan_003690,D20,1,0,0
YOLO11n,Japan__Japan_003690,D40,1,0,0
YOLO11n,Japan__Japan_003694,D00,0,0,1
YOLO11n,Japan__Japan_003697,D00,1,0,1
YOLO11n,Japan__Japan_003697,D10,0,0,2
YOLO11n,Japan__Japan_003697,D20,0,1,1
YOLO11n,Japan__Japan_003701,D20,1,0,0
YOLO11n,Japan__Japan_003713,D20,1,0,0
YOLO11n,Japan__Japan_003741,D00,0,1,0
YOLO11n,Japan__Japan_003741,D10,2,2,1
YOLO11n,Japan__Japan_003741,D20,0,0,1
YOLO11n,Japan__Japan_003759,D20,1,0,0
YOLO11n,Japan__Japan_003793,D20,1,0,0
YOLO11n,Japan__Japan_003798,D20,1,0,1
YOLO11n,Japan__Japan_003801,D20,1,0,0
YOLO11n,Japan__Japan_003801,D40,0,0,1
YOLO11n,Japan__Japan_003806,D10,0,1,0
YOLO11n,Japan__Japan_003806,D20,1,2,0
YOLO11n,Japan__Japan_003813,D20,1,0,0
YOLO11n,Japan__Japan_003822,D00,1,1,0
YOLO11n,Japan__Japan_003832,D00,0,0,1
YOLO11n,Japan__Japan_003832,D10,0,0,1
YOLO11n,Japan__Japan_003834,D10,1,0,2
YOLO11n,Japan__Japan_003836,D00,0,0,1
YOLO11n,Japan__Japan_003850,D40,1,0,1
YOLO11n,Japan__Japan_003861,D10,1,0,1
YOLO11n,Japan__Japan_003861,D20,1,2,0
YOLO11n,Japan__Japan_003867,D00,1,0,0
YOLO11n,Japan__Japan_003872,D10,1,0,1
YOLO11n,Japan__Japan_003878,D20,0,0,1
YOLO11n,Japan__Japan_003878,D40,0,1,2
YOLO11n,Japan__Japan_003880,D20,1,0,0
YOLO11n,Japan__Japan_003888,D00,0,0,1
YOLO11n,Japan__Japan_003888,D10,2,2,4
YOLO11n,Japan__Japan_003888,D20,0,1,1
YOLO11n,Japan__Japan_003908,D10,0,1,0
YOLO11n,Japan__Japan_003908,D20,1,1,1
YOLO11n,Japan__Japan_003927,D00,0,1,0
YOLO11n,Japan__Japan_003927,D10,0,0,3
YOLO11n,Japan__Japan_003927,D20,1,0,0
YOLO11n,Japan__Japan_003952,D00,0,1,0
YOLO11n,Japan__Japan_003952,D10,1,0,0
YOLO11n,Japan__Japan_003952,D20,0,0,1
YOLO11n,Japan__Japan_003962,D00,0,1,0
YOLO11n,Japan__Japan_003962,D10,0,0,1
YOLO11n,Japan__Japan_003962,D20,0,0,1
YOLO11n,Japan__Japan_003972,D00,0,0,1
YOLO11n,Japan__Japan_003972,D10,0,0,2
YOLO11n,Japan__Japan_003973,D20,1,0,1
YOLO11n,Japan__Japan_003973,D40,0,0,1
YOLO11n,Japan__Japan_003978,D20,1,2,0
YOLO11n,Japan__Japan_003978,D40,0,1,2
YOLO11n,Japan__Japan_003998,D20,1,0,0
YOLO11n,Japan__Japan_003998,D40,0,0,1
YOLO11n,Japan__Japan_004009,D00,1,0,0
YOLO11n,Japan__Japan_004019,D20,0,0,1
YOLO11n,Japan__Japan_004026,D40,1,0,0
YOLO11n,Japan__Japan_004052,D00,0,0,1
YOLO11n,Japan__Japan_004052,D10,0,0,1
YOLO11n,Japan__Japan_004055,D00,1,0,0
YOLO11n,Japan__Japan_004059,D00,0,0,2
YOLO11n,Japan__Japan_004059,D10,0,1,0
YOLO11n,Japan__Japan_004067,D00,1,0,0
YOLO11n,Japan__Japan_004079,D20,1,2,0
YOLO11n,Japan__Japan_004080,D20,1,0,0
YOLO11n,Japan__Japan_004096,D00,0,0,1
YOLO11n,Japan__Japan_004100,D40,0,0,2
YOLO11n,Japan__Japan_004136,D40,2,0,1
YOLO11n,Japan__Japan_004174,D10,0,0,2
YOLO11n,Japan__Japan_004176,D00,0,0,1
YOLO11n,Japan__Japan_004179,D40,0,0,1
YOLO11n,Japan__Japan_004182,D20,2,0,0
YOLO11n,Japan__Japan_004189,D00,0,1,1
YOLO11n,Japan__Japan_004190,D20,0,0,1
YOLO11n,Japan__Japan_004190,D40,0,1,0
YOLO11n,Japan__Japan_004197,D40,1,2,0
YOLO11n,Japan__Japan_004218,D20,1,0,2
YOLO11n,Japan__Japan_004218,D40,1,0,0
YOLO11n,Japan__Japan_004230,D20,1,0,0
YOLO11n,Japan__Japan_004246,D00,1,1,0
YOLO11n,Japan__Japan_004246,D20,0,0,1
YOLO11n,Japan__Japan_004250,D00,0,2,0
YOLO11n,Japan__Japan_004250,D40,0,1,0
YOLO11n,Japan__Japan_004266,D20,1,0,0
YOLO11n,Japan__Japan_004266,D40,0,1,0
YOLO11n,Japan__Japan_004290,D10,0,1,3
YOLO11n,Japan__Japan_004296,D40,0,0,1
YOLO11n,Japan__Japan_004304,D20,1,1,2
YOLO11n,Japan__Japan_004316,D10,0,1,0
YOLO11n,Japan__Japan_004327,D00,0,0,1
YOLO11n,Japan__Japan_004327,D10,0,0,1
YOLO11n,Japan__Japan_004327,D20,0,2,1
YOLO11n,Japan__Japan_004344,D00,0,0,1
YOLO11n,Japan__Japan_004346,D00,2,1,0
YOLO11n,Japan__Japan_004347,D10,0,1,0
YOLO11n,Japan__Japan_004347,D20,1,1,0
YOLO11n,Japan__Japan_004351,D10,0,0,1
YOLO11n,Japan__Japan_004370,D00,0,0,3
YOLO11n,Japan__Japan_004380,D10,1,0,0
YOLO11n,Japan__Japan_004381,D00,0,0,1
YOLO11n,Japan__Japan_004381,D20,1,2,1
YOLO11n,Japan__Japan_004392,D00,0,0,1
YOLO11n,Japan__Japan_004392,D10,0,0,3
YOLO11n,Japan__Japan_004392,D20,1,1,2
YOLO11n,Japan__Japan_004392,D40,0,0,1
YOLO11n,Japan__Japan_004394,D20,0,2,0
YOLO11n,Japan__Japan_004394,D40,0,0,1
YOLO11n,Japan__Japan_004405,D20,1,0,0
YOLO11n,Japan__Japan_004407,D20,0,0,1
YOLO11n,Japan__Japan_004422,D10,0,0,1
YOLO11n,Japan__Japan_004434,D00,0,0,1
YOLO11n,Japan__Japan_004457,D00,0,1,0
YOLO11n,Japan__Japan_004502,D20,0,0,1
YOLO11n,Japan__Japan_004507,D00,1,0,0
YOLO11n,Japan__Japan_004516,D10,0,0,3
YOLO11n,Japan__Japan_004531,D20,1,0,0
YOLO11n,Japan__Japan_004537,D20,1,0,0
YOLO11n,Japan__Japan_004537,D40,0,0,1
YOLO11n,Japan__Japan_004544,D20,0,0,1
YOLO11n,Japan__Japan_004544,D40,0,1,0
YOLO11n,Japan__Japan_004547,D00,1,1,1
YOLO11n,Japan__Japan_004567,D20,0,0,1
YOLO11n,Japan__Japan_004567,D40,1,0,2
YOLO11n,Japan__Japan_004569,D20,1,0,3
YOLO11n,Japan__Japan_004573,D20,1,1,2
YOLO11n,Japan__Japan_004573,D40,1,0,0
YOLO11n,Japan__Japan_004578,D00,0,0,1
YOLO11n,Japan__Japan_004578,D10,0,2,4
YOLO11n,Japan__Japan_004578,D20,0,3,0
YOLO11n,Japan__Japan_004597,D00,0,0,1
YOLO11n,Japan__Japan_004597,D20,0,0,1
YOLO11n,Japan__Japan_004607,D10,1,0,0
YOLO11n,Japan__Japan_004613,D00,0,1,1
YOLO11n,Japan__Japan_004613,D10,0,0,3
YOLO11n,Japan__Japan_004613,D20,0,0,1
YOLO11n,Japan__Japan_004617,D10,0,2,2
YOLO11n,Japan__Japan_004617,D20,0,1,0
YOLO11n,Japan__Japan_004618,D00,1,0,0
YOLO11n,Japan__Japan_004618,D20,0,0,1
YOLO11n,Japan__Japan_004638,D10,0,1,0
YOLO11n,Japan__Japan_004643,D10,1,0,0
YOLO11n,Japan__Japan_004652,D00,1,0,0
YOLO11n,Japan__Japan_004652,D10,0,0,2
YOLO11n,Japan__Japan_004658,D20,1,0,0
YOLO11n,Japan__Japan_004665,D00,2,0,1
YOLO11n,Japan__Japan_004667,D20,1,0,1
YOLO11n,Japan__Japan_004667,D40,0,0,1
YOLO11n,Japan__Japan_004687,D20,1,1,0
YOLO11n,Japan__Japan_004691,D00,1,0,0
YOLO11n,Japan__Japan_004691,D20,1,0,0
YOLO11n,Japan__Japan_004694,D00,1,1,0
YOLO11n,Japan__Japan_004700,D20,1,0,0
YOLO11n,Japan__Japan_004720,D00,0,0,1
YOLO11n,Japan__Japan_004720,D10,1,0,0
YOLO11n,Japan__Japan_004720,D20,3,3,1
YOLO11n,Japan__Japan_004720,D40,1,0,0
YOLO11n,Japan__Japan_004726,D20,1,0,0
YOLO11n,Japan__Japan_004751,D00,0,0,1
YOLO11n,Japan__Japan_004751,D10,0,1,0
YOLO11n,Japan__Japan_004751,D20,0,1,1
YOLO11n,Japan__Japan_004758,D20,0,0,1
YOLO11n,Japan__Japan_004774,D20,1,0,0
YOLO11n,Japan__Japan_004776,D20,0,0,1
YOLO11n,Japan__Japan_004800,D20,1,2,0
YOLO11n,Japan__Japan_004830,D00,0,1,0
YOLO11n,Japan__Japan_004830,D20,0,0,1
YOLO11n,Japan__Japan_004835,D10,0,1,0
YOLO11n,Japan__Japan_004835,D20,1,0,1
YOLO11n,Japan__Japan_004835,D40,1,0,1
YOLO11n,Japan__Japan_004840,D20,1,0,0
YOLO11n,Japan__Japan_004841,D20,0,0,1
YOLO11n,Japan__Japan_004845,D10,0,1,0
YOLO11n,Japan__Japan_004854,D10,0,0,1
YOLO11n,Japan__Japan_004868,D00,1,0,0
YOLO11n,Japan__Japan_004868,D10,0,0,3
YOLO11n,Japan__Japan_004868,D20,2,0,0
YOLO11n,Japan__Japan_004872,D20,0,2,2
YOLO11n,Japan__Japan_004885,D10,0,0,2
YOLO11n,Japan__Japan_004885,D20,1,2,0
YOLO11n,Japan__Japan_004885,D40,0,0,1
YOLO11n,Japan__Japan_004900,D10,0,1,1
YOLO11n,Japan__Japan_004900,D20,1,1,0
YOLO11n,Japan__Japan_004909,D10,0,1,0
YOLO11n,Japan__Japan_004910,D10,0,0,1
YOLO11n,Japan__Japan_004920,D20,1,0,1
YOLO11n,Japan__Japan_004923,D10,1,0,0
YOLO11n,Japan__Japan_004923,D20,0,0,1
YOLO11n,Japan__Japan_004924,D20,1,1,0
YOLO11n,Japan__Japan_004933,D00,1,0,0
YOLO11n,Japan__Japan_004933,D10,2,0,2
YOLO11n,Japan__Japan_004941,D20,1,0,0
YOLO11n,Japan__Japan_004988,D20,0,3,0
YOLO11n,Japan__Japan_004988,D40,0,0,2
YOLO11n,Japan__Japan_005007,D00,0,1,1
YOLO11n,Japan__Japan_005007,D20,0,0,2
YOLO11n,Japan__Japan_005008,D20,0,1,1
YOLO11n,Japan__Japan_005026,D20,1,2,0
YOLO11n,Japan__Japan_005041,D00,1,0,0
YOLO11n,Japan__Japan_005049,D20,1,2,1
YOLO11n,Japan__Japan_005068,D10,1,0,2
YOLO11n,Japan__Japan_005077,D20,1,0,0
YOLO11n,Japan__Japan_005084,D00,1,0,0
YOLO11n,Japan__Japan_005085,D00,0,1,2
